Key,Description,Standard,RU,ENG
SAY.PickUps Childroom Cycle 1.5.,,This is a MENTALLICA poster,Это плакат МЕНТАЛИКИ.,This is a MENTALLICA poster
SAY.PickUps Childroom Cycle 1.9.,,What a terrifying poster! I better take it down.,Какой кошмарный плакат! Надо его сорвать.,What a terrifying poster! I better take it down.
SAY.PickUps Childroom Cycle 1.6.,,This is a MENTALLICA audiotape.,Это кассета с МЕНТАЛИКОЙ.,This is a MENTALLICA audiotape.
SAY.PickUps Childroom Cycle 1.8.,,Sure does look satanic! It is definitely dangerous!,Такая музыка играет в Аду! Эта кассета опасна!,Sure does look satanic! It is definitely dangerous!
SAY.PickUps Childroom Cycle 1.7.,,"This is a ""rulebook"" for a board game Dungeons and Demons!",Это “книга правил” для настольной игры Подземелья и Демоны!,"This is a ""rulebook"" for a board game Dungeons and Demons!"
SAY.PickUps Childroom Cycle 1.10.,,"If this isn't an indoctrination book, I don't know what is!","Однозначно, это книга для промывания мозгов!","If this isn't an indoctrination book, I don't know what is!"
SAY.PickUps Childroom Cycle 1.24.,,"I think that's all of them! I should just burn it in the furnace, in the garage.","Думаю, это всё! Надо отправить это в печь, что в гараже.","I think that's all of them! I should just burn it in the furnace, in the garage."
SAY.PickUps Childroom Cycle 1.23.,,"Now, there {$items} more satanic objects to find!",Осталось найти еще {$items}.,"Now, there {$items} more satanic objects to find!"
SAY.Doors.1.,,I don't need to go there right now!,Мне туда сейчас не нужно!,I don't need to go there right now!
SAY.Doors.10.,,I am afraid to go outside! What if there are demons there?,Мне страшно выходить наружу! Вдруг там демоны с монстрами?,I am afraid to go outside! What if there are demons there?
SAY.Doors.19.,,I don't really need to go to the bathroom.,Я не хочу в туалет.,I don't really need to go to the bathroom.
SAY.Garage Cycle 1.13.,,I should go look for these demonic items in my son's bedroom!,Я должна поискать дьявольские вещи в спальне моего сына!,I should go look for these demonic items in my son's bedroom!
SAY.Garage Cycle 1.17.,,"Burn, burn, burn! There is no place for Satan in my home!","Гори, гори ясно! Дьяволу нет места в моем доме!","Burn, burn, burn! There is no place for Satan in my home!"
SAY.Garage Cycle 1.30.,,"Now that the job is done, I can finally rest near the TV again. Another day done right!","Дело сделано, можно и прилечь у телевизора. Очередной день проведен с пользой!","Now that the job is done, I can finally rest near the TV again. Another day done right!"
SAY.Main Room Cycle 1.3.,,...,...,...
SAY.Main Room Cycle 1.85.,,Karen: This does raise a concern! I think I saw something that could be satanic in my son's room upstairs...,"Карен: Ну ничего себе! Мне кажется, я видела что-то сатанистическое в комнате моего сына.",Karen: This does raise a concern! I think I saw something that could be satanic in my son's room upstairs...
SAY.Main Room Cycle 1.86.,,I have to investigate immediately!,Я должна срочно проверить второй этаж!,I have to investigate immediately!
SAY.Main Room Cycle 1.110.,,"TV: In today's news: there was an event of greatest importance today! Jonathan Wozzus gave us his inaugural speech, in which he....","ТВ: В сегодняшних новостях: сегодня случилось величайшее событие! Джонатан Возусс выступил с инаугурационной речью, в которой он...","TV: In today's news: there was an event of greatest importance today! Jonathan Wozzus gave us his inaugural speech, in which he...."
